,Year,Country,Plastic_waste_generated,Plastic_waste_treated,Disposal - Total,Disposal - landfill and other,Disposal - incineration,Recovery - Total,Recovery - energy recovery,Recovery - recycling,Recovery - backfilling,Population,Plastic_waste_generated_per_person
128,2016,Montenegro,2975,124,2.0,1.0,1.0,122,0.0,122,0.0,622218,4.781282444416587
129,2016,North Macedonia,8792,4488,4488.0,3985.0,503.0,0,0.0,0,0.0,2071278,4.244722340506682
130,2016,Serbia,55076,45855,539.0,539.0,0.0,45316,1222.0,44094,0.0,7076372,7.7830843262621014
131,2016,Türkiye,658164,1118240,,,,1116354,74512.0,1041842,0.0,78741053,8.35858773694581
132,2018,Belgium,745450,305721,34858.0,20966.0,13892.0,270863,13636.0,257227,0.0,11398589,65.39844536898383
133,2018,Bulgaria,260939,159206,4829.0,4634.0,195.0,154377,6194.0,148183,0.0,7050034,37.01244561373747
134,2018,Czechia,565453,628510,81434.0,81000.0,434.0,547076,93434.0,447797,5845.0,10610055,53.29406869238661
135,2018,Denmark,105457,64289,596.0,596.0,0.0,63693,5486.0,58207,0.0,5781190,18.24140012696348
136,2018,Germany,2864626,2525764,4900.0,462.0,4438.0,2520864,523953.0,1996911,0.0,82792351,34.60012870029503
137,2018,Estonia,52389,21737,1801.0,1801.0,0.0,19936,254.0,19682,0.0,1319133,39.71472171494459
138,2018,Ireland,158578,60257,856.0,856.0,0.0,59401,258.0,59143,0.0,4830392,32.82921965753504
139,2018,Greece,203069,37045,1834.0,1834.0,0.0,35210,0.0,35210,0.0,10741165,18.90567736367517
140,2018,Spain,815282,815282,136119.0,136119.0,0.0,679163,33814.0,645349,0.0,46658447,17.47340626232159
141,2018,France,2058723,1406718,56436.0,56436.0,0.0,1350282,1014475.0,335807,0.0,67026224,30.715186939368685
142,2018,Croatia,71670,52871,5838.0,5838.0,0.0,47032,5103.0,41929,0.0,4105493,17.45709954931113
143,2018,Italy,4388081,1930160,162899.0,133632.0,29267.0,1767261,82434.0,1684827,0.0,60483973,72.54948348052467
144,2018,Latvia,89055,61300,4152.0,4140.0,12.0,57148,6762.0,50386,0.0,1934379,46.03803080988782
145,2018,Lithuania,102441,39925,4238.0,4238.0,0.0,35686,62.0,35624,0.0,2808901,36.470135472912716
146,2018,Luxembourg,30005,20251,1.0,1.0,0.0,20250,8626.0,11624,0.0,602005,49.84177872276808
147,2018,Hungary,207563,186728,22004.0,20735.0,1269.0,164724,31115.0,133609,0.0,9778371,21.226746254565303
148,2018,Malta,7201,2886,107.0,107.0,0.0,2779,0.0,2779,0.0,475701,15.137660000714735
149,2018,Netherlands,561249,575030,21778.0,21012.0,766.0,553252,111484.0,441768,0.0,17181084,32.66668156677425
150,2018,Austria,380208,193472,2246.0,2246.0,,191226,,191226,0.0,8822267,43.096405946453444
151,2018,Poland,2105858,958603,21478.0,21273.0,205.0,937125,74360.0,862765,0.0,37976687,55.451335183608826
152,2018,Portugal,370413,170325,10990.0,10990.0,0.0,159335,20187.0,139148,0.0,10291027,35.99378371079971
153,2018,Romania,301379,236673,2158.0,1108.0,1050.0,234515,14952.0,219563,0.0,19533481,15.42884240653266
154,2018,Slovenia,69460,73429,2356.0,2337.0,19.0,71073,9532.0,61541,0.0,2066880,33.60620839139185
155,2018,Slovakia,192170,104395,18840.0,18829.0,11.0,85555,1289.0,84251,15.0,5443120,35.305119122856006
156,2018,Finland,120091,91393,936.0,920.0,16.0,90457,48449.0,42008,0.0,5513130,21.78272596510512
157,2018,Sweden,396061,218766,69.0,69.0,0.0,218698,167767.0,50931,0.0,10120242,39.13552660104373
158,2018,Iceland,10966,10967,244.0,216.0,28.0,10723,1209.0,9514,0.0,348450,31.47079925383843
159,2018,Norway,275537,293222,18565.0,18536.0,29.0,274657,144635.0,130022,0.0,5295619,52.03112232960868
160,2018,United Kingdom,2922915,756918,88038.0,84103.0,3935.0,668881,0.0,668881,0.0,66273576,44.103776745048435
161,2018,Montenegro,3271,209,0.0,0.0,0.0,209,0.0,209,0.0,622359,5.255808946283415
162,2018,North Macedonia,66671,66653,0.0,0.0,0.0,66653,0.0,66653,0.0,2075301,32.125942212719984
163,2018,Serbia,56220,52514,0.0,0.0,0.0,52514,3646.0,48868,0.0,7001444,8.029772144146266
164,2018,Türkiye,725276,2024401,1380.0,,1380.0,2005825,5466.0,2000359,0.0,80810525,8.975019033721164
165,2020,Belgium,994896,358468,22796.0,14563.0,8233.0,335672,5294.0,330378,0.0,11522440,86.34421181624725
166,2020,Bulgaria,367487,341540,24633.0,24192.0,441.0,316907,14105.0,302802,0.0,6951482,52.864554637414
167,2020,Czechia,556682,491148,83086.0,81941.0,1145.0,408062,97402.0,306343,4317.0,10693939,52.05584209896839
168,2020,Denmark,139833,83553,765.0,765.0,0.0,82788,11136.0,71652,0.0,5822763,24.014887777503567
169,2020,Germany,3097163,2747746,4558.0,200.0,4358.0,2743188,564898.0,2178290,0.0,83166711,37.24041702214243
170,2020,Estonia,43142,26716,1793.0,1793.0,0.0,24922,81.0,24841,0.0,1328976,32.46258773672361
171,2020,Ireland,158578,60257,856.0,856.0,0.0,59401,258.0,59143,0.0,4964440,31.94277703023906
172,2020,Greece,204838,37045,1834.0,1834.0,0.0,35210,0.0,35210,0.0,10718565,19.110580567454694
173,2020,Spain,979956,762551,186743.0,171691.0,15052.0,575808,72500.0,503308,0.0,47332614,20.703610411206107
174,2020,France,2563999,1394670,16626.0,16515.0,111.0,1378044,1027161.0,350883,0.0,67485531,37.993314448396355
175,2020,Croatia,126223,58910,6631.0,6631.0,0.0,52278,9400.0,42878,0.0,4058165,31.1034667146358
176,2020,Italy,4848441,1583289,75719.0,75279.0,440.0,1507570,101924.0,1405646,0.0,59641488,81.29309248622369
177,2020,Latvia,112421,76700,12516.0,12516.0,0.0,64184,4688.0,59493,3.0,1907675,58.9308975585464
178,2020,Lithuania,110399,45814,5126.0,5126.0,0.0,40689,4468.0,36221,0.0,2794090,39.51161200963462
179,2020,Luxembourg,31317,17554,98.0,98.0,0.0,17456,5245.0,12211,0.0,626108,50.018527155059516
180,2020,Hungary,159808,204069,28336.0,27181.0,1155.0,175733,29597.0,146136,0.0,9769526,16.357804872007094
181,2020,Malta,8802,2964,46.0,46.0,0.0,2918,0.0,2918,0.0,514564,17.105743891916262
182,2020,Netherlands,642780,606031,19283.0,17071.0,2212.0,586748,121611.0,465137,0.0,17407585,36.9252828580185
183,2020,Austria,399084,193985,1771.0,1771.0,,192214,,192214,0.0,8901064,44.83553876255693
184,2020,Poland,2238779,1072105,52467.0,51974.0,493.0,1019638,85944.0,933694,0.0,37958138,58.9802113054123
185,2020,Portugal,447175,207772,14243.0,14243.0,0.0,193529,27922.0,165607,0.0,10295909,43.432299178246424
186,2020,Romania,304857,259721,23060.0,19153.0,3907.0,236661,16346.0,220315,0.0,19328838,15.772132810053039
187,2020,Slovenia,67282,48589,2449.0,2425.0,24.0,46140,2288.0,43852,0.0,2095861,32.102319762617846
188,2020,Slovakia,199211,127290,11135.0,11132.0,3.0,116154,1504.0,114650,0.0,5457873,36.499749994182714
189,2020,Finland,132105,109972,887.0,807.0,80.0,109085,67889.0,41196,0.0,5525292,23.90914362535048
190,2020,Sweden,342506,179509,234.0,234.0,0.0,179275,131853.0,46422,1000.0,10327589,33.16417800902031
191,2020,Iceland,10966,10967,244.0,216.0,28.0,10723,1209.0,9514,0.0,364134,30.11528722942653
192,2020,Norway,254853,250398,37860.0,15321.0,22539.0,212538,70268.0,142270,0.0,5367580,47.48005618919513
193,2020,United Kingdom,2922915,756918,88038.0,84103.0,3935.0,668881,0.0,668881,0.0,67025542,43.60897223330175
194,2020,Montenegro,2931,102,0.0,0.0,0.0,102,0.0,102,0.0,621873,4.7131809871147325
195,2020,North Macedonia,48204,48192,21760.0,21760.0,0.0,26433,0.0,26433,0.0,2076255,23.216801404451765
196,2020,Serbia,65698,76452,279.0,279.0,0.0,76173,8384.0,67789,0.0,6926705,9.484740580117096
197,2020,Türkiye,757243,3026287,,,,3024089,4140.0,3019949,0.0,83154997,9.10640403246001
