Year,Country,Plastic_waste_generated,Plastic_waste_treated,Disposal - Total,Disposal - landfill and other,Disposal - incineration,Recovery - Total,Recovery - energy recovery,Recovery - recycling,Recovery - backfilling
2018,Belgium,745450,305721,34858,20966,13892,270863,13636,257227,0
2018,Bulgaria,260939,159206,4829,4634,195,154377,6194,148183,0
2018,Czechia,565453,628510,81434,81000,434,547076,93434,447797,5845
2018,Denmark,105457,64289,596,596,0,63693,5486,58207,0
2018,Germany,2864626,2525764,4900,462,4438,2520864,523953,1996911,0
2018,Estonia,52389,21737,1801,1801,0,19936,254,19682,0
2018,Ireland,158578,60257,856,856,0,59401,258,59143,0
2018,Greece,203069,37045,1834,1834,0,35210,0,35210,0
2018,Spain,815282,815282,136119,136119,0,679163,33814,645349,0
2018,France,2058723,1406718,56436,56436,0,1350282,1014475,335807,0
2018,Croatia,71670,52871,5838,5838,0,47032,5103,41929,0
2018,Italy,4388081,1930160,162899,133632,29267,1767261,82434,1684827,0
2018,Latvia,89055,61300,4152,4140,12,57148,6762,50386,0
2018,Lithuania,102441,39925,4238,4238,0,35686,62,35624,0
2018,Luxembourg,30005,20251,1,1,0,20250,8626,11624,0
2018,Hungary,207563,186728,22004,20735,1269,164724,31115,133609,0
2018,Malta,7201,2886,107,107,0,2779,0,2779,0
2018,Netherlands,561249,575030,21778,21012,766,553252,111484,441768,0
2018,Austria,380208,193472,2246,2246,,191226,,191226,0
2018,Poland,2105858,958603,21478,21273,205,937125,74360,862765,0
2018,Portugal,370413,170325,10990,10990,0,159335,20187,139148,0
2018,Romania,301379,236673,2158,1108,1050,234515,14952,219563,0
2018,Slovenia,69460,73429,2356,2337,19,71073,9532,61541,0
2018,Slovakia,192170,104395,18840,18829,11,85555,1289,84251,15
2018,Finland,120091,91393,936,920,16,90457,48449,42008,0
2018,Sweden,396061,218766,69,69,0,218698,167767,50931,0
2018,Iceland,10966,10967,244,216,28,10723,1209,9514,0
2018,Norway,275537,293222,18565,18536,29,274657,144635,130022,0
2018,United Kingdom,2922915,756918,88038,84103,3935,668881,0,668881,0
2018,Montenegro,3271,209,0,0,0,209,0,209,0
2018,North Macedonia,66671,66653,0,0,0,66653,0,66653,0
2018,Serbia,56220,52514,0,0,0,52514,3646,48868,0
2018,Türkiye,725276,2024401,1380,,1380,2005825,5466,2000359,0
2020,Belgium,994896,358468,22796,14563,8233,335672,5294,330378,0
2020,Bulgaria,367487,341540,24633,24192,441,316907,14105,302802,0
2020,Czechia,556682,491148,83086,81941,1145,408062,97402,306343,4317
2020,Denmark,139833,83553,765,765,0,82788,11136,71652,0
2020,Germany,3097163,2747746,4558,200,4358,2743188,564898,2178290,0
2020,Estonia,43142,26716,1793,1793,0,24922,81,24841,0
2020,Ireland,158578,60257,856,856,0,59401,258,59143,0
2020,Greece,204838,37045,1834,1834,0,35210,0,35210,0
2020,Spain,979956,762551,186743,171691,15052,575808,72500,503308,0
2020,France,2563999,1394670,16626,16515,111,1378044,1027161,350883,0
2020,Croatia,126223,58910,6631,6631,0,52278,9400,42878,0
2020,Italy,4848441,1583289,75719,75279,440,1507570,101924,1405646,0
2020,Latvia,112421,76700,12516,12516,0,64184,4688,59493,3
2020,Lithuania,110399,45814,5126,5126,0,40689,4468,36221,0
2020,Luxembourg,31317,17554,98,98,0,17456,5245,12211,0
2020,Hungary,159808,204069,28336,27181,1155,175733,29597,146136,0
2020,Malta,8802,2964,46,46,0,2918,0,2918,0
